scenario_id,scenario_type,baseline_name,seed,n_steps,cumulative_gain,mean_stability,final_stability,mean_risk,final_risk,safety_violation_count,safety_violation_rate,over_action_count,over_action_rate,missed_opportunity_rate,mean_recovery_score,time_to_recover,max_fatigue,final_relation_lock,exploration_capacity_retention,audit_pass_rate
clr_03,safety_boundary_shift,NO_ACTION,1,12.0,0.0,0.717078,0.648328,0.42125,0.49,0.0,0.0,0.0,0.0,0.5,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_03,safety_boundary_shift,NO_ACTION,2,12.0,0.0,0.715745,0.646995,0.42125,0.49,0.0,0.0,0.0,0.0,0.5,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_03,safety_boundary_shift,NO_ACTION,3,12.0,0.0,0.707244,0.638494,0.42125,0.49,0.0,0.0,0.0,0.0,0.5,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_03,safety_boundary_shift,NO_ACTION,4,12.0,0.0,0.693828,0.625078,0.42125,0.49,0.0,0.0,0.0,0.0,0.5,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_03,safety_boundary_shift,V2_GREEDY_OPTIMIZER,0,12.0,3.368559,0.963922,0.986381,0.233443,0.248,0.0,0.0,0.0,0.0,0.0,0.55507,0.0,0.37026,0.236975,0.857718,1.0
clr_03,safety_boundary_shift,V2_GREEDY_OPTIMIZER,1,12.0,3.368559,0.974782,0.986381,0.233443,0.248,0.0,0.0,0.0,0.0,0.0,0.552426,0.0,0.37026,0.236975,0.857718,1.0
clr_03,safety_boundary_shift,V2_GREEDY_OPTIMIZER,2,12.0,3.368559,0.974449,0.986381,0.233443,0.248,0.0,0.0,0.0,0.0,0.0,0.552537,0.0,0.37026,0.236975,0.857718,1.0
clr_03,safety_boundary_shift,V2_GREEDY_OPTIMIZER,3,12.0,3.368559,0.972323,0.986381,0.233443,0.248,0.0,0.0,0.0,0.0,0.0,0.553245,0.0,0.37026,0.236975,0.857718,1.0
clr_03,safety_boundary_shift,V2_GREEDY_OPTIMIZER,4,12.0,3.368559,0.967456,0.986381,0.233443,0.248,0.0,0.0,0.0,0.0,0.0,0.554363,0.0,0.37026,0.236975,0.857718,1.0
clr_04,reaction_surface_drift,ACTION_MODULE_RC1,0,12.0,0.0,0.717078,0.648328,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,ACTION_MODULE_RC1,1,12.0,0.0,0.715745,0.646995,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,ACTION_MODULE_RC1,2,12.0,0.0,0.707244,0.638494,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,ACTION_MODULE_RC1,3,12.0,0.0,0.693828,0.625078,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,ACTION_MODULE_RC1,4,12.0,0.0,0.708642,0.639892,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,NO_ACTION,0,12.0,0.0,0.717078,0.648328,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,NO_ACTION,1,12.0,0.0,0.715745,0.646995,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,NO_ACTION,2,12.0,0.0,0.707244,0.638494,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,NO_ACTION,3,12.0,0.0,0.693828,0.625078,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,NO_ACTION,4,12.0,0.0,0.708642,0.639892,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_04,reaction_surface_drift,V2_GREEDY_OPTIMIZER,0,12.0,5.631461,0.972476,1.0,0.397399,0.84248,0.0,0.0,4.0,0.333333,0.0,0.430999,0.0,0.8168,0.324,0.782465,1.0
clr_04,reaction_surface_drift,V2_GREEDY_OPTIMIZER,1,12.0,5.631461,0.972143,1.0,0.397399,0.84248,0.0,0.0,4.0,0.333333,0.0,0.431111,0.0,0.8168,0.324,0.782465,1.0
clr_04,reaction_surface_drift,V2_GREEDY_OPTIMIZER,2,12.0,5.631461,0.970017,1.0,0.397399,0.84248,0.0,0.0,4.0,0.333333,0.0,0.431819,0.0,0.8168,0.324,0.782465,1.0
clr_04,reaction_surface_drift,V2_GREEDY_OPTIMIZER,3,12.0,5.631461,0.964393,1.0,0.397399,0.84248,0.0,0.0,4.0,0.333333,0.0,0.432937,0.0,0.8168,0.324,0.782465,1.0
clr_04,reaction_surface_drift,V2_GREEDY_OPTIMIZER,4,12.0,5.631461,0.970367,1.0,0.397399,0.84248,0.0,0.0,4.0,0.333333,0.0,0.431702,0.0,0.8168,0.324,0.782465,1.0
clr_05,hidden_fragility,ACTION_MODULE_RC1,0,12.0,0.0,0.693211,0.624461,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
