row_index,distribution_state_id,distribution_group,scenario_split,scenario_id,seed,t,n_bins,cell_count,base_pair_key
95,external_augmented|fit_external|fit_reversal_resource_supply|seed2|t12|n4,external_augmented,fit_external,fit_reversal_resource_supply,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
96,external_augmented|fit_external|fit_reversal_demand|seed0|t12|n4,external_augmented,fit_external,fit_reversal_demand,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
97,external_augmented|fit_external|fit_reversal_demand|seed1|t12|n4,external_augmented,fit_external,fit_reversal_demand,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
98,external_augmented|fit_external|fit_reversal_demand|seed2|t12|n4,external_augmented,fit_external,fit_reversal_demand,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
99,external_augmented|fit_external|fit_competition_plus_noise|seed0|t12|n4,external_augmented,fit_external,fit_competition_plus_noise,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
100,external_augmented|fit_external|fit_competition_plus_noise|seed1|t12|n4,external_augmented,fit_external,fit_competition_plus_noise,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
101,external_augmented|fit_external|fit_competition_plus_noise|seed2|t12|n4,external_augmented,fit_external,fit_competition_plus_noise,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
102,external_augmented|fit_external|fit_shock_plus_constraint|seed0|t12|n4,external_augmented,fit_external,fit_shock_plus_constraint,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
103,external_augmented|fit_external|fit_shock_plus_constraint|seed1|t12|n4,external_augmented,fit_external,fit_shock_plus_constraint,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
104,external_augmented|fit_external|fit_shock_plus_constraint|seed2|t12|n4,external_augmented,fit_external,fit_shock_plus_constraint,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
105,external_augmented|fit_external|fit_scarcity_plus_demand|seed0|t12|n4,external_augmented,fit_external,fit_scarcity_plus_demand,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
106,external_augmented|fit_external|fit_scarcity_plus_demand|seed1|t12|n4,external_augmented,fit_external,fit_scarcity_plus_demand,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
107,external_augmented|fit_external|fit_scarcity_plus_demand|seed2|t12|n4,external_augmented,fit_external,fit_scarcity_plus_demand,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
108,external_augmented|holdout_external|holdout_unseen_intensity_competition|seed10|t12|n4,external_augmented,holdout_external,holdout_unseen_intensity_competition,10,12,4,1024,seed=10|t=12|n_bins=4|scenario_split=holdout_external
109,external_augmented|holdout_external|holdout_unseen_intensity_competition|seed11|t12|n4,external_augmented,holdout_external,holdout_unseen_intensity_competition,11,12,4,1024,seed=11|t=12|n_bins=4|scenario_split=holdout_external
